requirement_id,method,object_sequence,assessment_object,source_page_start,source_page_end
AC.L2-3.1.1,EXAMINE,1,Access control policy,22,24
AC.L2-3.1.1,EXAMINE,2,procedures addressing account management,22,24
AC.L2-3.1.1,EXAMINE,3,system security plan,22,24
AC.L2-3.1.1,EXAMINE,4,system design documentation,22,24
AC.L2-3.1.1,EXAMINE,5,system configuration settings and associated documentation,22,24
AC.L2-3.1.1,EXAMINE,6,list of active system accounts and the name of the individual associated with each account,22,24
AC.L2-3.1.1,EXAMINE,7,"notifications or records of recently transferred, separated, or terminated employees",22,24
AC.L2-3.1.1,EXAMINE,8,list of conditions for group and role membership,22,24
AC.L2-3.1.1,EXAMINE,9,list of recently disabled system accounts along with the name of the individual associated with each account,22,24
AC.L2-3.1.1,EXAMINE,10,access authorization records,22,24
AC.L2-3.1.1,EXAMINE,11,account management compliance reviews,22,24
AC.L2-3.1.1,EXAMINE,12,system monitoring records,22,24
AC.L2-3.1.1,EXAMINE,13,system audit logs and records,22,24
AC.L2-3.1.1,EXAMINE,14,list of devices and systems authorized to connect to organizational systems,22,24
AC.L2-3.1.1,EXAMINE,15,other relevant documents or records,22,24
AC.L2-3.1.1,INTERVIEW,1,Personnel with account management responsibilities,22,24
AC.L2-3.1.1,INTERVIEW,2,system or network administrators,22,24
AC.L2-3.1.1,INTERVIEW,3,personnel with information security responsibilities,22,24
AC.L2-3.1.1,TEST,1,Organizational processes for managing system accounts,22,24
AC.L2-3.1.1,TEST,2,"mechanisms for implementing account management]. 11 NIST SP 800-171A, p. 9. AC.L2-3.1.1 - Authorized Access Control [CUI Data",22,24
AC.L2-3.1.2,EXAMINE,1,Access control policy,25,26
AC.L2-3.1.2,EXAMINE,2,procedures addressing acces s enforcement,25,26
AC.L2-3.1.2,EXAMINE,3,system security plan,25,26
AC.L2-3.1.2,EXAMINE,4,system design documentation,25,26
AC.L2-3.1.2,EXAMINE,5,list of approved authorizations including remote access authorizations,25,26
AC.L2-3.1.2,EXAMINE,6,system audit logs and records,25,26
AC.L2-3.1.2,EXAMINE,7,system configuration settings and associated documentation,25,26
