requirement_id,reference_sequence,reference_text,source_page_start,source_page_end
AC.L2-3.1.1,1,NIST SP 800-171 Rev. 2 3.1.1,22,24
AC.L2-3.1.1,2,FAR Clause 52.204-21 b.1.i,22,24
AC.L2-3.1.2,1,NIST SP 800-171 Rev. 2 3.1.2,25,26
AC.L2-3.1.2,2,FAR Clause 52.204-21 b.1.ii,25,26
AC.L2-3.1.3,1,NIST SP 800-171 Rev. 2 3.1.3,27,29
AC.L2-3.1.4,1,NIST SP 800-171 Rev. 2 3.1.4,30,31
AC.L2-3.1.5,1,NIST SP 800-171 Rev. 2 3.1.5,32,34
AC.L2-3.1.6,1,NIST SP 800-171 Rev. 2 3.1.6,35,36
AC.L2-3.1.7,1,NIST SP 800-171 Rev. 2 3.1.7,37,39
AC.L2-3.1.8,1,NIST SP 800-171 Rev. 2 3.1.8,40,41
AC.L2-3.1.9,1,NIST SP 800-171 Rev. 2 3.1.9,42,43
AC.L2-3.1.10,1,NIST SP 800-171 Rev. 2 3.1.10,44,45
AC.L2-3.1.11,1,NIST SP 800-171 Rev. 2 3.1.11 33 Review DoD Cybersecurity FAQ Q53.2 for information on minimum values.,46,47
AC.L2-3.1.12,1,NIST SP 800-171 Rev. 2 3.1.12,48,50
AC.L2-3.1.13,1,NIST SP 800-171 Rev. 2 3.1.13,51,52
AC.L2-3.1.14,1,NIST SP 800-171 Rev. 2 3.1.14,53,54
AC.L2-3.1.15,1,NIST SP 800-171 Rev. 2 3.1.15,55,57
AC.L2-3.1.16,1,NIST SP 800-171 Rev. 2 3.1.16,58,59
AC.L2-3.1.17,1,NIST SP 800-171 Rev. 2 3.1.17,60,61
AC.L2-3.1.18,1,NIST SP 800-171 Rev. 2 3.1.18,62,63
AC.L2-3.1.20,1,NIST SP 800-171 Rev. 2 3.1.20,66,68
AC.L2-3.1.20,2,FAR Clause 52.204-21 b.1.iii,66,68
AC.L2-3.1.21,1,NIST SP 800-171 Rev. 2 3.1.21,69,70
AC.L2-3.1.22,1,NIST SP 800-171 Rev. 2 3.1.22,71,72
AC.L2-3.1.22,2,FAR Clause 52.204-21 b.1.iv,71,72
AT.L2-3.2.1,1,NIST SP 800-171 Rev. 2 3.2.1,73,75
AT.L2-3.2.2,1,NIST SP 800-171 Rev. 2 3.2.2,76,77
AT.L2-3.2.3,1,NIST SP 800-171 Rev. 2 3.2.3,78,79
AU.L2-3.3.1,1,NIST SP 800-171 Rev. 2 3.3.1,80,82
AU.L2-3.3.2,1,NIST SP 800-171 Rev. 2 3.3.2,83,84
AU.L2-3.3.3,1,NIST SP 800-171 Rev. 2 3.3.3,85,86
AU.L2-3.3.4,1,NIST SP 800-171 Rev. 2 3.3.4,87,88
AU.L2-3.3.5,1,NIST SP 800-171 Rev. 2 3.3.5,89,90
AU.L2-3.3.6,1,NIST SP 800-171 Rev. 2 3.3.6,91,92
AU.L2-3.3.7,1,NIST SP 800-171 Rev. 2 3.3.7,93,94
AU.L2-3.3.8,1,NIST SP 800-171 Rev. 2 3.3.8,95,96
AU.L2-3.3.9,1,NIST SP 800-171 Rev. 2 3.3.9,97,98
CM.L2-3.4.1,1,NIST SP 800-171 Rev. 2 3.4.1,99,101
CM.L2-3.4.2,1,NIST SP 800-171 Rev. 2 3.4.2,102,103
CM.L2-3.4.3,1,NIST SP 800-171 Rev. 2 3.4.3,104,105
CM.L2-3.4.4,1,NIST SP 800-171 Rev. 2 3.4.4,106,107
CM.L2-3.4.5,1,NIST SP 800-171 Rev. 2 3.4.5,108,110
CM.L2-3.4.6,1,NIST SP 800-171 Rev. 2 3.4.6,111,112
CM.L2-3.4.7,1,NIST SP 800-171 Rev. 2 3.4.7,113,115
CM.L2-3.4.8,1,NIST SP 800-171 Rev. 2 3.4.8,116,117
CM.L2-3.4.9,1,NIST SP 800-171 Rev. 2 3.4.9,118,119
IA.L2-3.5.1,1,NIST SP 800-171 Rev. 2 3.5.1,120,121
IA.L2-3.5.1,2,FAR Clause 52.204-21 b.1.v,120,121
IA.L2-3.5.2,1,NIST SP 800-171 Rev. 2 3.5.2 IA.L2-3.5.2 - Authentication [CUI Data],122,124
IA.L2-3.5.2,2,FAR Clause 52.204-21 b.1.vi,122,124
IA.L2-3.5.3,1,NIST SP 800-171 Rev. 2 3.5.3,125,127
IA.L2-3.5.4,1,NIST SP 800-171 Rev. 2 3.5.4,128,129
IA.L2-3.5.5,1,NIST SP 800-171 Rev. 2 3.5.5,130,131
IA.L2-3.5.6,1,NIST SP 800-171 Rev. 2 3.5.6,132,133
IA.L2-3.5.7,1,NIST SP 800-171 Rev. 2 3.5.7,134,135
IA.L2-3.5.8,1,NIST SP 800-171 Rev. 2 3.5.8,136,137
