requirement_id,domain_code,scoring_category,deduction_points,partial_credit_allowed,partial_deduction_points,full_deduction_points,partial_credit_condition,full_deduction_condition,scoring_source,scoring_source_version
AC.L2-3.1.1,AC,FIVE_POINT,5,No,0,5,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.2,AC,FIVE_POINT,5,No,0,5,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.3,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.4,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.5,AC,THREE_POINT,3,No,0,3,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.6,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.7,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.8,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.9,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.10,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.11,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.12,AC,FIVE_POINT,5,No,0,5,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.13,AC,FIVE_POINT,5,No,0,5,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.14,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.15,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.16,AC,FIVE_POINT,5,No,0,5,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.17,AC,FIVE_POINT,5,No,0,5,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.18,AC,FIVE_POINT,5,No,0,5,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.19,AC,THREE_POINT,3,No,0,3,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.20,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
AC.L2-3.1.21,AC,ONE_POINT,1,No,0,1,,Requirement is assessed NOT MET.,32 CFR 170.24(c)(2),Current eCFR
